Duration,Elements,element_rate,pk_freq(max),min_req(max),max_freq(max),bandw(max),entropy(max),peak_freq(mean),min_freq(mean),max_freq(mean),bandw(mean),entropy(mean)
0.08776,78,0.00113,19000,8000,71000,62000,0.367,19000,2000,95000,92000,0.467
0.01809,10,0.00199,55000,13000,79000,65000,0.363,19000,4000,90000,86000,0.452
0.0593,35,0.00174,55000,2000,71000,68000,0.326,57000,1000,79000,77000,0.457
0.0593,35,0.00174,55000,2000,71000,68000,0.325,57000,1000,79000,77000,0.457
0.07547,76,0.001,62000,2000,76000,73000,0.403,62000,1000,84000,83000,0.491
0.155,165,0.00094,32000,11000,71000,60000,0.366,29000,1000,76000,74000,0.448
0.10525,46,0.00233,54000,2000,71000,68000,0.369,58000,1000,83000,82000,0.473
0.06344,72,0.00089,54000,2000,67000,64000,0.36,57000,1000,86000,84000,0.476
0.08763,52,0.00171,52000,19000,76000,57000,0.377,52000,2000,130000,127000,0.487
0.24456,175,0.0014,24000,5000,71000,65000,0.36,20000,2000,77000,74000,0.435
