ID_Call,ID_Couple,Intruder,Owner,Sex,duration,element rate,peak freq(max),min freq(max),max freq(max),bandw(max),entropy(max),peak freq(mean),min freq(mean),max freq(mean),bandw(mean),entropy(mean),PC1,PC2,PC3,PC4,PC5
130,8,190,224,Male,0.12019,0.00123,35000,10000,84000,74000,0.396,29000,2000,89000,86000,0.453,0.99108377,-1.089945186,-0.387594562,0.262821091,-0.250427766
131,8,190,224,Male,0.00465,0.00114,30000,8000,57000,48000,0.344,32000,2000,83000,80000,0.42,-1.095322667,-0.534230325,-0.651997484,0.476449244,-0.172557038
132,8,190,224,Male,0.00004,0,29000,2000,68000,65000,0.356,29000,1000,68000,67000,0.362,-1.490033004,-1.264323133,-0.889430757,-0.353997378,-1.275920393
133,8,190,224,Male,0.05883,0.00116,19000,4000,67000,62000,0.273,20000,1000,80000,79000,0.411,-1.151606895,-1.355438956,-1.371488122,0.560934865,-0.007896191
134,8,190,224,Male,0.03933,0.00131,21000,8000,74000,65000,0.367,21000,1000,87000,86000,0.47,-0.018910529,-1.496565867,-0.591531135,0.975790748,-0.152532221
135,8,190,224,Male,0.02577,0.00128,33000,16000,82000,65000,0.355,33000,2000,86000,83000,0.452,0.452149504,-0.48299446,-0.578578156,0.635776226,-0.624678572
136,8,190,224,Male,0.1105,0.00097,32000,10000,79000,68000,0.347,35000,4000,86000,82000,0.445,0.342862446,-0.640429104,-0.518492973,-0.030196551,-0.264943022
137,8,190,224,Male,0.04864,0.00134,67000,10000,84000,74000,0.394,68000,7000,89000,82000,0.443,1.756255606,0.731150987,0.165788994,-1.053662354,-1.792469266
138,9,213,234,Male,0.08281,0.0008,38000,33000,62000,29000,0.226,43000,5000,89000,83000,0.427,-0.75027834,1.921168734,-1.105883308,0.366110478,1.047283739
139,9,213,234,Male,0.00844,0.00076,46000,14000,71000,57000,0.361,48000,4000,79000,74000,0.402,-0.276130387,0.351918455,-0.362142829,-0.358233713,-1.11004941
140,9,213,234,Male,0.09877,0.00109,57000,35000,73000,38000,0.333,55000,5000,80000,74000,0.414,-0.003497654,2.216385143,-0.039407272,-0.398033634,0.104872119
141,9,213,234,Male,0.11921,0.00121,36000,32000,43000,11000,0.173,35000,23000,77000,54000,0.359,-3.755790966,3.585298445,-0.348127066,0.223572611,0.86611926
142,9,213,234,Male,0.11345,0.00555,35000,30000,74000,43000,0.187,32000,27000,73000,45000,0.237,-3.087529418,3.343921838,-0.442427421,1.348690739,-0.810719253
143,9,213,234,Male,0.08238,0.00171,51000,10000,73000,62000,0.365,32000,2000,93000,90000,0.485,0.984687181,-0.444322908,-0.340047375,0.490193602,-0.019497151
